date,price,volume,type_organic
2015-01-04,0.95,313.2427773,0
2015-01-11,1.01,290.6354275,0
2015-01-18,1.03,290.4345885,0
2015-01-25,1.04,284.7031084,0
2015-02-01,0.89,446.5546151,0
2015-02-08,0.95,321.37333010000003,0
2015-02-15,1.03,280.1252093,0
2015-02-22,1.02,299.36729760000003,0
2015-03-01,0.97,329.9401416,0
2015-03-08,1.02,300.94698850000003,0
2015-03-15,1.04,295.72225710000004,0
2015-03-22,1.01,325.1355051,0
2015-03-29,1.04,299.8264843,0
2015-04-05,1.06,315.0066944,0
2015-04-12,1.02,320.4640164,0
2015-04-19,1.03,330.9125626,0
2015-04-26,1.07,308.941578,0
2015-05-03,0.96,412.9170439,0
2015-05-10,1.02,364.00886579999997,0
2015-05-17,1.06,320.2768615,0
2015-05-24,1.04,353.4418315,0
2015-05-31,1.03,337.20159090000004,0
2015-06-07,1.0,365.49995659999996,0
2015-06-14,0.98,370.2608575,0
2015-06-21,1.02,357.346139,0
2015-06-28,1.06,324.087057,0
2015-07-05,1.04,379.43670340000006,0
2015-07-12,1.07,316.6003168,0
2015-07-19,1.07,323.2464766,0
2015-07-26,1.07,306.5221108,0
2015-08-02,1.09,303.5846788,0
2015-08-09,1.05,332.5491187,0
2015-08-16,1.05,319.3685618,0
2015-08-23,1.08,296.9984561,0
2015-08-30,1.07,297.6163848,0
2015-09-06,1.02,335.2648008,0
2015-09-13,1.03,312.4583565,0
2015-09-20,1.02,295.6908656,0
2015-09-27,1.03,277.5350814,0
2015-10-04,1.02,282.4350552,0
2015-10-11,1.0,292.16198149999997,0
2015-10-18,0.99,293.751236,0
2015-10-25,1.04,262.4007211,0
2015-11-01,0.97,310.4748427,0
2015-11-08,0.97,284.8571597,0
2015-11-15,0.92,285.9775627,0
2015-11-22,0.96,251.1422811,0
2015-11-29,0.99,226.17999379999998,0
2015-12-06,0.89,288.0039657,0
2015-12-13,0.93,280.4133538,0
2015-12-20,0.98,250.8364717,0
2015-12-27,0.95,272.9798367,0
2016-01-03,0.86,381.4208804,0
2016-01-10,0.93,352.6433601,0
2016-01-17,0.94,344.2634187,0
2016-01-24,0.95,327.8707921,0
2016-01-31,0.93,347.2124992,0
2016-02-07,0.76,522.8869789,0
2016-02-14,0.88,364.7644186,0
2016-02-21,0.94,328.04733219999997,0
2016-02-28,0.91,368.0181768,0
2016-03-06,0.95,350.6450604,0
2016-03-13,0.93,363.74516140000003,0
2016-03-20,0.93,363.3548378,0
2016-03-27,0.94,359.3019592,0
2016-04-03,0.94,336.68450549999994,0
2016-04-10,0.9,365.8402939,0
